"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1161","Meremere","999999","Total people - age group",459,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1162","Te Kauwhata","999999","Total people - age group",906,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1163","Inland water Waikato District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1164","Other rural Waikato District","999999","Total people - age group",35217,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1165","Inlets Waikato District","999999","Total people - age group",3,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1170","Horotiu","999999","Total people - age group",513,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1171","Te Kowhai","999999","Total people - age group",390,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1172","Whatawhata","999999","Total people - age group",270,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1173","Morrinsville","999999","Total people - age group",6606,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1178","Waharoa","999999","Total people - age group",519,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1179","Matamata","999999","Total people - age group",6297,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1180","Hamilton","999999","Total people - age group",129588,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1181","Inland water Hamilton City","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1186","Cambridge","999999","Total people - age group",13899,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1187","Te Awamutu","999999","Total people - age group",10143,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1188","Other rural Waipa District","999999","Total people - age group",14160,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1189","Kihikihi","999999","Total people - age group",2361,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1190","Karapiro Village","999999","Total people - age group",207,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1195","Tirau","999999","Total people - age group",744,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1196","Arapuni","999999","Total people - age group",234,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1197","Putaruru","999999","Total people - age group",3930,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1198","Other rural South Waikato District","999999","Total people - age group",4563,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1203","Other rural Waitomo District","999999","Total people - age group",3972,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1204","Te Kuiti","999999","Total people - age group",4494,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1205","Piopio","999999","Total people - age group",468,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1206","Benneydale","999999","Total people - age group",210,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1212","Wairakei Village","999999","Total people - age group",465,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1213","Omori","999999","Total people - age group",210,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1214","Inland water Taupo District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1215","Taupo","999999","Total people - age group",20697,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1220","Other rural Taupo District","999999","Total people - age group",5304,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1221","Waihi Beach","999999","Total people - age group",1758,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1222","Athenree","999999","Total people - age group",612,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1223","Tanners Point","999999","Total people - age group",216,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1228","Inlets Western Bay of Plenty District","999999","Total people - age group",3,
